ID,rank,scientificName
604,subclass,"Stichotrichia"
605,order,"Sporadotrichida"
606,order,"Stichotrichida"
607,order,"Urostylida"
608,infraphylum,"Ventrata"
609,class,"Armophorea"
610,order,"Armophorida"
611,order,"Clevelandellida"
612,class,"Colpodea"
613,order,"Bryometopida"
614,order,"Bryophryida"
615,order,"Bursariomorphida"
616,order,"Colpodida"
617,order,"Cyrtolophosidida"
618,order,"Sorogenida"
619,class,"Litostomatea"
620,subclass,"N.N."
621,order,"Helicoprorodontida"
622,subclass,"Haptoria"
623,order,"Cyclotrichiida"
624,order,"Didiniida"
625,order,"Haptorida"
626,order,"Lacrymariida"
627,order,"Pleurostomatida"
628,order,"Spathidiida"
629,subclass,"Rhynchostomatia"
630,order,"Dileptida"
631,order,"Tracheliida"
632,subclass,"Trichostomatia"
633,order,"Entodiniomorphida"
634,order,"Macropodiniida"
635,order,"Vestibuliferida"
636,class,"Nassophorea"
637,order,"Colpodidiida"
638,order,"Microthoracida"
639,order,"Nassulida"
640,order,"Synhymeniida"
641,class,"Oligohymenophorea"
642,subclass,"Apostomatia"
643,order,"Apostomatida"
644,order,"Astomatophorida"
645,order,"Pilisuctorida"
646,subclass,"Astomatia"
647,order,"Astomatida"
648,subclass,"Hymenostomatia"
649,order,"Tetrahymenida"
650,subclass,"Peniculia"
651,order,"Peniculida"
652,order,"Urocentrida"
653,subclass,"Peritrichia"
654,order,"Mobilida"
655,order,"Sessilida"
656,subclass,"Scuticociliatia"
657,order,"Philasterida"
658,order,"Pleuronematida"
659,order,"Thigmotrichida"
660,class,"Phyllopharyngea"
661,subclass,"Chonotrichia"
662,order,"Cryptogemmida"
663,order,"Exogemmiida"
664,subclass,"Cyrtophoria"
665,order,"Chlamydodontida"
666,order,"Dysteriida"
667,subclass,"Rhynchodia"
668,order,"Hypocomatida"
669,order,"Rhynchodida"
670,subclass,"Suctoria"
671,order,"Endogenida"
672,order,"Evaginogenida"
673,order,"Exogenida"
674,class,"Plagiopylea"
675,order,"Odontostomatida"
676,order,"Plagiopylida"
677,class,"Prostomatea"
678,order,"Prorodontida"
679,order,"Prostomatida"
680,subphylum,"Postciliodesmatophora"
681,class,"Heterotrichea"
682,order,"Heterotrichida"
683,class,"Karyorelictea"
684,order,"Loxodida"
685,order,"Protoheterotrichida"
686,order,"Protostomatida"
687,phylum,"Colponemidia"
688,class,"Colponemea"
689,order,"Colponemida"
690,phylum,"Miozoa"
691,subphylum,"Myzozoa"
692,infraphylum,"Apicomplexa"
693,superclass,"Apicomonada"
694,class,"Apicomonadea"
695,subclass,"Myzomonadia"
696,superorder,"Chromovoridia"
697,order,"Algovorida"
698,order,"Chromerida"
699,order,"Voracida"
700,order,"Voromonadida"
701,superorder,"Paraconoidia"
702,order,"Colpodellida"
703,subclass,"Vitrelloidia"
704,order,"Vitrellida"
705,superclass,"Sporozoa"
706,class,"N.N."
707,order,"Blastogregarinida"
708,class,"Coccidiomorphea"
709,subclass,"Coccidia"
710,order,"Adeleida"
711,order,"Eimeriida"
712,order,"Ixorheida"
713,subclass,"Coelotrophia"
s714,order,"Protococcidiida"
714,order,"Coelotrophiida "
715,subclass,"Hematozoa"
716,superorder,"Aconoidia"
717,order,"Nephromycida"
718,order,"Piroplasmida"
719,superorder,"Haemosporidia"
720,order,"Haemosporida"
721,class,"Gregarinomorphea"
722,subclass,"Cryptogregaria"
723,order,"Cryptogregarida (Cryptosporidium)"
724,subclass,"Histogregaria"
725,order,"Histogregarida"
726,subclass,"Orthogregarinia"
727,order,"Arthrogregarida"
728,order,"Vermigregarida"
729,class,"Paragregarea"
730,order,"Archigregarinida"
731,order,"Stenophorida"
732,order,"Velocida"
733,infraphylum,"Dinozoa"
734,superclass,"Dinoflagellata"
735,class,"Dinophyceae"
736,subclass,"N.N."
737,order,"N.N."
738,order,"Actiniscales"
739,order,"Amphilothales"
740,order,"Blastodinales"
741,order,"Brachidiniales"
742,order,"Coccidinales"
743,order,"Desmomastigales"
744,order,"Dinamoebales"
745,order,"Dinotrichales"
746,order,"Haplozoonales"
747,order,"Lophodinales"
748,order,"Phytodiniales"
749,order,"Pyrocystales"
750,order,"Torodiniales"
751,subclass,"Gonyaulacoidia"
752,order,"Gonyaulacales"
753,order,"Gymnodiniales"
754,subclass,"Suessioidia"
755,order,"Suessiales"
756,class,"Myzodinea"
757,order,"Myzodinida"
758,class,"Oxyrrhea"
759,order,"Acrocoelida"
760,order,"Oxyrrhida"
761,superclass,"Dinokaryota"
762,class,"Noctilucea"
763,order,"Noctilucida"
764,class,"Peridinea"
765,subclass,"Dinophysoidia"
766,infraclass,"N.N."
767,order,"Dinophysiales"
768,order,"Nannoceratopsales"
769,order,"Spirodinida"
770,infraclass,"Epidinia"
771,order,"Torodinida"
772,subclass,"Karlodinia"
773,order,"N.N. (e.g. Karlodinium)"
774,subclass,"Peridinoidia"
775,order,"Peridiniales"
776,order,"Prorocentrales"
777,class,"Sulcodinea"
778,order,"Amphidinida"
779,order,"Gyrodinida"
780,superclass,"Perkinsozoa"
781,class,"Perkinsea"
782,order,"Perkinsida"
783,order,"Phagodinida"
784,class,"Squirmidea"
785,order,"Squirmida"
786,superclass,"Syndina"
787,class,"Endodinea"
788,order,"Ichthyodinida"
789,class,"Ellobiopsea"
790,order,"Ellobiopsida"
791,class,"Syndinea"
792,order,"Rastrimonadida"
793,order,"Syndinida"
794,subphylum,"Protalveolata"
795,class,"N.N."
796,order,"Algivorida"
797,order,"Palustrimonadida"
s798,superphylum,"""Supergroup Stramenopiles"""
798,superphylum,"Heterokonta "
799,phylum,"Bigyra"
800,subphylum,"N.N."
801,class,"Platysulcea"
802,order,"N.N. (Platysulcidae)"
803,subphylum,"Opalozoa"
804,infraphylum,"Bikosia"
805,class,"Bikosea"
806,order,"Anoecida"
807,order,"Bicoecida"
808,order,"Borokida"
809,order,"Pseudodendromonadida"
810,order,"Rictida"
811,infraphylum,"Placidozoa"
812,superclass,"Opalinata"
